Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Parking,Restroom,Change table,Stroller trail,Playground,Enclosed playground,"Material of playground floor (rubber, grass, dirt, sand, concrete, wood chip/mulch, asphalt) ",Water play,Sand pit,Toddler Playground,Pre-schooler Playground (2-5) ,School aged Playground (5-12),Picnic table,BBQ,Snugabug Pick,Photos
Placerville City Park,Benham St. & Pacific St.,Placerville,CA,95667,,,,,,N,Y,,Y,Y,Y,mulch,N,N,Y,Y,N,Y,N,,
Brookwood Park,Taylor Blvd &  Withers Ave.,Lafayette,CA,94549,,http://www.pleasanthillrec.com/locations/parksandoutdoorspaces.html,"This 6.3 acre neighborhood park includes a picnic and barbeque area, surfaced court and children's play area. Visit this hidden gem! Great play structure, large grassy open area, and lots of shade trees. Rentals on weekends only; 30 person maximum capacity. Alcohol and Big Jumps are not permitted at this park. ",,,N,N,,Y,Y,N,mulch,N,N,N,N,Y,,,,
Pleasant Hill Park,147 Gregory Ln,Pleasant Hill,CA,94523,,http://www.pleasanthillrec.com/locations/parksandoutdoorspaces.html,"Softball diamond, 3 reservable Picnic Areas, 2 open Picnic Areas, Basketball Court, 2 Children's Playgrounds and Community Gardens.
Only open Monday - Friday 9am - 5pm.",,,Y,Y,,Y,Y,Y,mulch,Y,Y,Y,Y,Y,,,,Y
Shannon Park,,Pleasant Hill,CA,94523,,,,,,N,N,,Y,Y,N,sand,N,Y,Y,N,N,N,N,,
Fairlands Park,4100 Churchill Dr,Pleasanton,CA,94588,,,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Fawn Hills Park,1510 W Lagoon Rd,Pleasanton,CA,94566,,http://ptownlife.org/play/parks/fawn-hills-park,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,N,Y,N,,Y
Hansen Park,5697 Black Ave,Pleasanton,CA,94566,,http://ptownlife.org/play/parks/hansen-park,,,,N,N,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,Y
Harvest Park Middle School,4900 Valley Ave,Pleasanton,CA,94566,,http://ptownlife.org/play/parks/harvest-park,,,,N,N,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,Y
Meadows Park,Foothill Knolls Dr. & Prairie Dr.,Pleasanton,CA,94588,,http://ptownlife.org/play/parks/meadows-park,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,,,Y
Oakhill Park,4100 Muirwood Dr,Pleasanton,CA,94588,,http://ptownlife.org/play/parks/oakhill-park,,,,N,N,,Y,Y,N,mulch,N,N,N,Y,Y,N,N,,Y
Upper Pleasanton Field,Abbie St & Whiting St.,Pleasanton,CA,94566,,http://ptownlife.org/play/parks/upper-pleasanton-field,,,,Y,N,,Y,Y,N,mulch,N,N,N,Y,Y,Y,N,,Y
Bubb Park,Barbara Avenue & Montalto Drive ,Mountain View,CA,94040,,,,,,N,Y,,N,Y,N,"rubber, sand",N,Y,Y,Y,Y,Y,Y,,Y
Barbara and Jay Vincent Park,,Richmond,CA,94804,,http://www.ci.richmond.ca.us/index.aspx?nid=1620,,,,Y,Y,,Y,Y,N,rubber,N,Y,Y,Y,Y,N,N,,Y
McKinley Park,Alhambra Boulevard & Fat Alley,Sacramento,CA,95816,,http://portal.cityofsacramento.org/ParksandRec/Parks/Park-Directory/East-Sacramento/McKinley%20Park,"The McKinley Playground is a colorful custom designed playground, which is based on East Sacramento’s 125 year old past.  It includes an “Alhambra Theater” entry archway, river boat, street trolley, the “Tower” bridge, large tree house, rubber surfacing with animal graphics, large climbing wall and boulders and concrete turtle. The playground was built on-site with over 2,000 community volunteers over a 6 day period, with substantial funding from community donations of money, building materials and equipment. The playground also features a custom seat wall and sand area with a tile mural installed by local Sacramento artists, and restoration of two original lion-fish painted by local Sacramento artist.",,,N,Y,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,,Y,Y
Southside Park,6th St. & V St.,Sacramento,CA,95818,,http://portal.cityofsacramento.org/ParksandRec/Parks/Park-Directory/Central-City/Southside%20Park,"The playground is 16,800 s.f. and is located next to the pool facility and close to the restroom. The theme of the playground is ""the solar system"". Three distinct age appropriate play areas have been designed to include a rubber surfaced play area for infants under the age of 2, a tot lot for pre-school age children (2-5 years old), and an adventure play area for school age children (5-12 years old). Unique play features are included in the design to create a sensory enriched accessible playground. Such unique play elements in the play areas include an adventure play equipment with access ramps and handrails, a tot lot play equipment with access ramps and handrails, a merry-go-around, swings, spring riders, group rocking units, self propelled spin play units, independent climbing apparatuses and play units with sound features. Brightly colored protective rubber play surfacing in shapes of different planets also add to the space theme.",,,N,Y,,Y,Y,N,mulch,Y,Y,Y,Y,Y,Y,Y,Y,Y
William Land Park,3800 S Land Park Dr,Sacramento,CA,95822,,http://portal.cityofsacramento.org/ParksandRec/Parks/Park-Directory/Land-Park/William-Land,"With 166.5 developed acres this regional park includes many amenities, including the Sacramento Zoo, Fairytale Town, Funderland, Picnic Areas for small events and large events, Wading Pool, Basketball Court, 6 Softball Field, Soccer Fields, Adventure Play Area, Lakes, Amphitheater, Rock Garden, Jogging Path, Village Green, Golf Course, Off-street Parking, Restrooms.",,,Y,Y,,Y,Y,Y,mulch,Y,Y,Y,Y,Y,Y,Y,,Y
Crane Park,S Crane Ave. & Vallejo St.,St. Helena,CA,94574,,,,,,Y,Y,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,,
John Murphy Park,Murphy Rd and Poppy Glen Rd,Salida,CA,95368,,,,,,N,Y,N,Y,Y,N,sand,N,Y,Y,Y,Y,Y,N,,
Park - Segesta Way & Bianco Way,Segesta Way & Bianco Way,Salida,CA,95368,,,,,,Y,,,Y,Y,N,sand,N,N,Y,Y,Y,,,,
Salida Park,Magnolia St. & Flint Ave.,Salida,CA,95368,,,,,,N,Y,,Y,Y,N,sand,N,N,Y,Y,Y,N,N,,
San Anselmo Memorial Park,1000 Sir Francis Drake Blvd,San Anselmo,CA,94960,(415) 258-4640,http://www.townofsananselmo.org/Facilities/Facility/Details/4,"Millennium Playground was built by 1,500 volunteers in May 2000 during a one week period. The playground was designed by the children of San Anselmo and incorporates San Anselmo themes, such as a train depot, seminary tower and Town Hall tower.",,,Y,Y,,Y,Y,N,"mulch, sand",N,Y,Y,Y,Y,Y,N,Y,
West Sunset Playground,3223 Ortega St,San Francisco,CA,94122,415 753 7047,http://www.sfparksalliance.org/our-parks/parks/west-sunset-playground,"West Sunset Playground has a large soccer field, three baseball diamonds, two tennis courts, a full basketball court, three small basketball courts, a running track, a playground for kids, and a small recreation center.",,,,,,,,,,,,,,,,,,Y
Westborough Park,2380 Galway Dr,South San Francisco,CA,94080,650 875 6916,,,,,,,,,,,,,,,,,,,,
Willy Woo Woo Wong Playground,830 Sacramento St,San Francisco,CA,94108,415 274 202,http://www.sfparksalliance.org/our-parks/parks/willie-woo-woo-wong-playground,"This multi-level park built into the side of a hill contains two sand play areas, three game and sports areas, and a big community recreation center and indoor gym. The Rec center runs an after school program that helps kids with homework and offers snacks and activities.
1 Basketball Court, Clubhouse/Activity Room, Kitchen, 2 Playgrounds, 4 Ping Pong Tables, Restrooms, 1 Tennis Court, 1 Volleyball Court.",,,N,Y,,N,Y,,"rubber, sand",N,Y,Y,Y,Y,N,N,,Y
Woh Hei Yuen Park,Powell St & John St,San Francisco,CA,94133,415 989 4442,http://www.sfparksalliance.org/our-parks/parks/woh-hei-yuen-park,"Despite its small size, Woh Hei Yuen provides a variety of activities, attracting everyone from the elderly to small children. Views to and from the park's adjacent streets are kept open, while park structures and planting help to define sub areas and create a sense of depth. The principal landscape area has many features encouraging exploration, including a pavilion; wood bridge over a dry creek, stone walls, and granite boulders carved into human faces and oversized fruits. Concrete and special paving link the park's main activities, as well as providing spaces for uses such as tai chi and ball play. ",,,,,,,,,,,,,,,,,,Y
Yerba Buena Gardens,745 Mission St,San Francisco,CA,94103,415 820 3550,,,,,,,,,,,,,,,,,,,,
Townsend Park,Townsend Park Cir at Gordy Dr,San Jose,CA,95109,,,,,,N,N,,Y,Y,N,"rubber, mulch",N,Y,Y,Y,Y,Y,N,,
Willow Street Frank Bramhall Park,1320 Willow St,San Jose,CA,95125,408 793 5510,,,,,Y,Y,,,Y,N,rubber,N,N,Y,Y,Y,Y,Y,,
Mervin Morris Park,Nielson Ave & Devenwood Way,San Lorenzo,CA,94580,,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
San Lorenzo Community Center Park,1970 Via Buena Vista,San Lorenzo,CA,94580,,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,,,
Seminary Oaks Park,299 Santa Monica Avenue,Menlo Park,CA,94025,,,,,,,,,,,,,,,,,,,N,,Y
San Leandro Ball Park,Teagarden St & Aladdin Ave,San Leandro,CA,94577,510 577 3462,http://www.sanleandro.org/depts/rec/parks/ball.asp,"The San Leandro Ball Park, located at Teagarden and Marina Boulevard, provides a major-league sized baseball facility used by hundreds of teams, from little leagues to semi-pro ""Old Timers"" leagues. The park is a fully-developed facility, complete with grandstands, restrooms, lighting, parking, concessions and scorebooth.",,,Y,Y,,N,Y,Y,rubber,N,N,Y,Y,Y,Y,Y,,Y
Siempre Verde Park,455 Park St,San Leandro,CA,94577,,https://sanleandro.org/depts/rec/parks/verde.asp,"Located at the corner of Park Street and San Leandro Boulevard, provides open green space and recreational facilities for the neighborhoods surrounding it. There are two barbecue pits, four picnic tables, a baseball field, a basketball court, a play area and restrooms.",,,N,Y,,,Y,N,mulch,N,N,N,Y,Y,Y,N,,Y
Stenzel Park,15300 Wicks Boulevard,San Leandro,CA,94579,510 577 3462,https://sanleandro.org/depts/rec/parks/stenzel.asp,"An important neighborhood park located on Wicks Boulevard at Elvina Drive. Over the years, four regulation ball fields have been developed here for organized baseball league play. There are also four barbecue pits, six picnic tables, a half court basketball court, restrooms and a concession booth.",,,Y,Y,,N,Y,N,mulch,N,N,Y,Y,Y,Y,N,,Y
Thrasher Park,1300 Davis St,San Leandro,CA,94577,,https://sanleandro.org/depts/rec/parks/thrasher.asp,"Located at the intersection of Davis Street and Orchard Avenue, is the City's oldest park. Renovated in 1992, this community park has several unique features, including a lighted regulation softball field, a skateboard park, and a historical railway society building. In addition, the picnic areas, playground, and green space provide for neighborhood recreation needs. There are six barbecue pits, six picnic tables, a tot lot and restrooms.",,,Y,Y,,N,Y,N,mulch,N,N,Y,Y,N,Y,Y,,Y
Toyon Park,Bancroft Ave. & Bancroft Ct.,San Leandro,CA,94578,,https://sanleandro.org/depts/rec/parks/toyon.asp,"Located on Bancroft Avenue at 145th Avenue. The park includes a variety of facilities not found in many other San Leandro parks, including bocce and horseshoe courts. There are also four barbecue pits, six picnic tables, a tiny tot area and restrooms.",,,Y,Y,,N,Y,N,mulch,N,N,Y,Y,Y,Y,N,,Y
Warden Park,Corner Of Warden Avenue and Tudor Rd,San Leandro,CA,94577,510 577 3462,https://sanleandro.org/depts/rec/parks/warden.asp,"Warden Park is a small park that provides recreation amenities for nearby residents. It is located at the corner of Warden Avenue and Tudor Road. There are two barbecue pits, two picnic tables, a basketball court and a tot lot.",,,Y,N,,N,Y,N,sand,N,Y,Y,Y,Y,Y,Y,,Y
Washington Manor Park,Mersey Ave. & Zelma  St.,San Leandro,CA,94579,,https://sanleandro.org/depts/rec/parks/washington.asp,"This 15-acre neighborhood park is located at 14900 Zelma, near Manor Boulevard. Its amenities include a new aquatic center with a variety of water features and a community room, tennis courts, barbecue pits, basketball courts, playground apparatuses, two softball areas and an open grassy field.",,,Y,Y,,N,Y,N,mulch,Y,N,Y,Y,Y,Y,Y,,Y
West Hillsdale Park,400 Heather Ln,San Mateo,CA,94403,,,,,,N,N,,,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Bret Harte Park,Baywood Ter. & Irwin St.,San Rafael,CA,94901,,,,,,N,Y,,,Y,Y,mulch,N,N,Y,Y,Y,N,N,,
Freitas Park,,San Rafael,CA,94901,,,,,,N,Y,,,Y,N,rubber,Y,N,N,N,Y,Y,N,,
Gerstle Park,Clark St. & San Rafael Ave.,San Rafael,CA,94901,,,,,,N,Y,,Y,Y,Y,mulch,N,Y,Y,Y,Y,Y,,,
Santa Margarita Park,Near 97 De La Guerra Rd,San Rafael,CA,94903,,,,,,Y,Y,,N,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,,
Arlington Park,Knightsbridge Way & Holborn Way,San Ramon,CA,94582,,,,,,Y,Y,,Y,Y,N,mulch,N,N,N,N,Y,Y,Y,,
Central Park,12501 Alcosta Blvd,San Ramon,CA,94583,925 973 3200,,,,,Y,Y,,Y,Y,N,"rubber, mulch",Y,Y,N,N,Y,Y,N,,
Creekside Park,1343 S. Wedgewood Rd,San Ramon,CA,94582,(925) 973-3290,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
East Branch Park,Pemberton Dr. & Jasper Hill Dr.,San Ramon,CA,94582,,,,,,Y,Y,,N,Y,N,mulch,N,N,N,Y,Y,Y,N,,
Hidden Crest Park,Star Jasmine Dr. & Asterbell Dr.,San Ramon,CA,94582,(925) 973-3290,,,,,N,N,,N,Y,N,mulch,N,N,N,N,Y,Y,Y,,
Hidden Valley Park,Silva Way & Albion Rd.,San Ramon,CA,94582,,,,,,Y,Y,,Y,Y,N,mulch,N,N,N,N,Y,Y,N,,
Memorial Park,Bollinger Canyon Road & Talavera Dr.,San Ramon,CA,94583,,,,,,Y,Y,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,
Monarch Park,N Monarch Rd & Japonica Way,San Ramon,CA,94582,,,,,,Y,Y,,Y,Y,Y,mulch,N,N,Y,Y,Y,Y,N,,
Piccadilly Square Park,Piccadilly Circle,San Ramon,CA,94582,,,,,,N,Y,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,N,Y,
Kid's World,E Micheltorena St & Garden St.,Santa Barbara,CA,93101,,,,,,N,N,,Y,Y,Y,mulch,N,Y,Y,Y,Y,Y,N,Y,
Chase Palm Park,323 E Cabrillo Blvd,Santa Barbara,CA,93101,,,,,,Y,Y,,Y,Y,N,"rubber, sand",,Y,Y,Y,Y,,,,
Fairway Glen Park,Calle De Primavera,Santa Clara,CA,95054,,,,,,,,,,,,,,,,,,,,,Y
Southview Park,North St. & 3rd St.,Sausalito,CA,94965,,,,,,N,N,,N,Y,Y,sand,N,Y,Y,Y,Y,N,N,,
Laguna Grande Park,Canyon Del Rey Blvd. & Hilby Ave.,Seaside,CA,93955,,,,,,Y,Y,,Y,Y,N,"mulch, sand",N,Y,Y,Y,Y,Y,Y,Y,
Anna Jean Cummings Park,461 Soquel San Jose Rd,Soquel,CA,95073,,,,,,Y,Y,,Y,Y,N,sand,N,Y,Y,Y,Y,Y,,,
KT Carter Park,Cox St. & Newcomb St.,Sonoma,CA,95476,,,,,,N,N,,N,Y,N,sand,N,Y,Y,Y,N,N,N,,
Victory Park,1001 N Pershing Ave,Stockton,CA,95203,,,,,,N,Y,,N,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,
Mike Day Memorial Park,"605,1-3 Civic Center Blvd",Suisun City,CA,94585,,,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,,,
Seven Hills Park,Florence St,Union City,CA,94587,,,,,,Y,Y,,,Y,N,rubber,N,N,Y,Y,N,Y,,,
Dan Foley Park,95 Amador St,Vallejo,CA,94590,,,,Y,,Y,Y,,Y,Y,N,mulch,N,,Y,Y,Y,Y,Y,,
Beard Park,540 C Street,Waterford,CA,95386,,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,Y,Y,Y,Y,
Heather Farm Park,301 N San Carlos Dr,Walnut Creek,CA,94598,925 943 5858,http://www.walnut-creek.org/citygov/depts/ps/parks/heatherfarm/default.asp,,,,Y,Y,,,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,,Y
Larkey Park,,Walnut Creek,CA,94597,,,,,,Y,Y,,,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,
Rudgear Park,Steward Ave & Kenton Ct.,Walnut Creek,CA,94596,,,,,,Y,Y,,,Y,N,sand,N,Y,Y,Y,Y,Y,Y,,
San Miguel Park,San Jose Ct.,Walnut Creek,CA,94598,,,,,,Y,N,,,Y,N,mulch,N,N,N,N,Y,N,N,,
Tice Valley Park,,Walnut Creek,CA,94595,,http://www.walnut-creek.org/citygov/depts/ps/parks/ticevalley.asp,,,,Y,Y,,,Y,N,"sand, rubber",N,Y,Y,Y,N,Y,Y,,Y
Walden Park,2698 Oak Rd,Walnut Creek,CA,94597,,,,,,Y,Y,,,Y,N,"mulch, rubber",N,Y,Y,Y,N,Y,Y,,
Ocean View Park,102 Ocean View Ave,Santa Cruz,CA,95067,,http://www.cityofsantacruz.com/departments/parks-recreation/parks-beaches-and-open-spaces/neighborhood-parks/ocean-view-park,,,,N,Y,,,Y,N,"rubber, mulch",N,N,Y,Y,Y,Y,Y,,Y
West Lake Park,Bradley Dr. & Sprint St.,Santa Cruz,CA,95060,,http://www.cityofsantacruz.com/departments/parks-recreation/parks-beaches-and-open-spaces/neighborhood-parks/westlake-park,,,,N,N,,N,Y,N,"rubber, sand",N,Y,Y,Y,Y,Y,,,Y
Grant Park,1575 Holt Ave,Los Altos,CA,94024,,,,,,Y,,,N,Y,N,mulch,N,N,Y,Y,Y,Y,N,,Y
Los Altos Apricot Orchard,1 N San Antonio Rd,Los Altos,CA,94022,,,,,,Y,N,,N,Y,Y,mulch,N,N,Y,Y,N,N,N,,Y
Marymeade Park,Fremont Ave. & Grant Rd.,Los Altos,CA,94024,,,,,,Y,N,,,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
Creekside Park,Miller Ave & Phil Ln.,Cupertino,CA,95014,,,,,,Y,Y,,Y,Y,Y,mulch,N,Y,Y,Y,Y,Y,Y,,Y
Bubb School,525 Hans Ave,Mountain View,CA,94040,,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,Y,Y,N,,Y
Castro Park,505 Escuela Ave,Mountain View,CA,94040,(650) 526-3590,,,,,N,N,,,Y,Y,"sand, mulch, rubber",N,Y,Y,Y,Y,N,N,,Y
Fairmont Park,Fairmont Ave & Bush St.,Mountain View,CA,94040,,,"This is a very small park, near downtown Mountain View. This park is completely fenced in, has two small play structure for toddlers and a few picnic tables overlooking the play area. ",,,N,N,,N,Y,Y,sand,N,Y,Y,Y,N,Y,N,,Y
Sylvan Park,550 Sylvan Ave,Mountain View,CA,94041,,,,,,Y,N,,,Y,N,sand,N,N,Y,Y,Y,Y,N,,Y
Almaden Lake Park,15652 Almaden Expy,San Jose,CA,95120,,,,Y,,Y,Y,,Y,Y,Y,mulch,Y,N,Y,Y,Y,Y,Y,,Y
TJ Martin Park,The Strand Ave & Crump Ct.,San Jose,CA,95120,,,"Great neighborhood park, with lots of unique climbing structures. ",,,N,N,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,Y
Wallenberg Park,Curtner Ave & Cottle Ave.,San Jose,CA,95125,,,,,,Y,Y,,Y,Y,N,"mulch, rubber",N,Y,Y,Y,Y,Y,Y,,Y
Magical Bridge Playground,600 E Meadow Dr,Palo Alto,CA,94306,,,,,,,,,,,,,,,,,,,,,Y
Belameda Park,1110 Alameda,Belmont,CA,94002,,http://www.belmont.gov/Home/Components/FacilityDirectory/FacilityDirectory/24/702,,,,N,N,,,Y,Y,mulch,N,N,Y,Y,Y,Y,N,,Y
O'Donnell Park,400 Ralston,Belmont,CA,94002,,http://www.belmont.gov/Home/Components/FacilityDirectory/FacilityDirectory/60/702,,,,N,N,,,Y,Y,"sand, mulch",N,Y,Y,Y,Y,Y,Y,,Y
Arcturus Park,,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Arcturus-Park.cfm,"Arcturus Park offers 3/4 acre of playground area, small lawn area, and a tiny tot play area.",,,N,N,,N,Y,N,mulch,N,N,Y,Y,Y,N,N,,Y
Catamaran Park,Catamaran St & Magellan Ln.,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Catamaran-Park.cfm,"This beautiful 5.8 acre park offers a chance for a moonlight (or midday, for that matter!) stroll along the Lagoon with a view of downtown Foster City as a backdrop. Catamaran Park offers a large turf area, beach area, picnic area, basketball court, play apparatus, two lighted tennis courts, sand volleyball pit, and restroom facilities.",,,N,Y,,Y,Y,N,mulch,N,N,N,N,Y,N,N,,Y
Edgewater Park,610 Foster City Blvd,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Edgewater-Park.cfm,"Edgewater Park is 9.5 acres with large lawn areas, lighted softball diamond, basketball courts, playgroundarea, and tennis courts.",,,N,Y,N,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,Y
Farragut Park,Farragut Blvd & Bridgeport Ln,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Farragut-Park.cfm,"Farragut Park offers a large lawn area, picnic tables, benches, small sand box, play apparatus, and restroom facilities.",,,N,Y,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,Y
Gull Park,Gull Ave & Killdeer Ct.,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Gull-Park.cfm,"Gull Park offers a sand beach and two playground areas, as well as swings, slides, a large lawn area, and restroom facilities. 3.1 acres.
The picnic tables at Gull Park are reservable for groups of up to 50 people. Call (650) 286-3380 for more details.",,,N,Y,,,Y,N,,,,,,,Y,N,,Y
Ketch Park,Topsail Ct.,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Ketch-Park.cfm,"Award winning Ketch Park features 1.6 acres of lawn, playground area, basketball court, and a gazebo suitable for a small picnic.",,,N,N,,,Y,N,,,,,,,Y,N,,Y
Marlin Park,Marlin Ave & Pompano Cir,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Marlin-Park.cfm,"In a waterfront setting, Marlin Park's 3.1 acres offer a sand beach, playground area and large lawn area.
The picnic tables at Marlin Park are reservable for groups of up to 50 people. Call (650)286-3380 for details.",,,N,N,,,Y,N,,,,,,,Y,N,,Y
Port Royal Park,100 Port Royal Ave,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Port-Royal-Park.cfm,"Tucked into the southern-most point of Foster City, Port Royal Park offers 4 acres of soccer fields, restrooms, play apparatus, and walkways for a lovely afternoon stroll.",,,Y,N,,Y,Y,N,rubber,N,N,Y,Y,Y,N,N,,Y
Sea Cloud Park,Sea Cloud Dr,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Sea-Cloud-Park.cfm,"Play Ball!! Sea Cloud Park has been called the ""sporting gem"" of the Peninsula. It is the home of the Foster City Little League and offers more than 23 acres of baseball diamonds, soccer fields, lawn area, play apparatus, snack shack, batting cages, and restrooms.",,,Y,N,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,Y
Shad Park,,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Shad-Park.cfm,"Shad Park provides 2.1 acres of lawn area, playgrounds, basketball court, and a multi-purpose court.",,,N,N,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,Y
Sunfish Park,Sea Horse Ct.,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Sunfish-Park.cfm,"With 2.4 acres, Sunfish Park offers playgrounds, a multi-purpose court and lawn area.",,,,N,,,Y,N,mulch,N,N,Y,Y,Y,N,N,,Y
Turnstone Park,Avocet Ct,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Turnstone-Park.cfm,"Turnstone Park offers a 1.5 acres of playground equipment, a lawn area, and a basketball court. There's also a sand pit for the kids to play in.",,,,N,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,Y
Howes Play Lot,,Los Gatos,CA,95032,,http://www.losgatosca.gov/904/Howes-Play-Lot,"Howes Play Lot is located near Union Avenue,  between Thomas and Howes Drives, off Anne Way. It is only accessible from Thomas Drive and Howes Drive.",,,N,N,,N,Y,N,mulch,N,N,N,Y,Y,N,N,,Y
Oak Hill Play Lot,Oakpark Dr. & Garden Ln.,Los Gatos,CA,95032,,http://www.losgatosca.gov/909/Oak-Hill-Play-Lot,"The play lot is located on the corner of Oak Park Drive and Garden Lane, off of Los Gatos Boulevard.
A small neighborhood play lot with a playground and small lawn.",,,,,,,,,,,,,,,,,,Y
Adventure Playground,160 University Ave,Berkeley,CA,94710,5109816720,http://www.ci.berkeley.ca.us/adventureplayground/,"The Adventure Playground at the Berkeley Marina was opened in 1979. It is a wonderfully unique outdoor facility where staff encourage children to play and build creatively. Come climb on the many unusual kid designed and built forts, boats, and towers. Ride the zip line or hammer, saw, and paint. By providing these low risk activities Adventure Playground creates opportunities for children to learn cooperation, meet physical challenges and gain self confidence. Pictures of a fort building project.",Y,,Y,Y,,N,Y,Y,sand,N,Y,N,N,Y,Y,Y,,Y
Kern Play Lot,Kern St & Esmond Ave.,Richmond,CA,94805,,http://www.ci.richmond.ca.us/index.aspx?NID=1664,,,,N,N,,N,Y,Y,mulch,N,N,Y,Y,Y,N,N,,Y
Solano Playlot,38th Street & Solano Ave.,Richmond,CA,94805,,http://www.ci.richmond.ca.us/index.aspx?NID=1664,,,,N,N,,N,Y,Y,mulch,N,N,Y,Y,Y,Y,N,,Y
Washington Park,Burlingame Ave & Anita Rd.,Burlingame,CA,94010,,https://www.burlingame.org/index.aspx?page=419&recordid=201,"Washington Park is the oldest park in Burlingame. The park is a year round center for community recreation. The Burlingame Recreation Division provides hundreds of classes and activities each year in the park and the Recreation Center. Tennis courts, a children’s playground, picnic areas, and baseball facilities are all in constant use. ",,,Y,Y,,Y,Y,N,rubber,N,Y,Y,Y,Y,Y,Y,,Y
Hidden Valley Park,,Santa Rosa,CA,95404,,http://ci.santa-rosa.ca.us/departments/recreationandparks/parks/cityparks/listofparks/Pages/HiddenValleyPark.aspx,,,,N,N,,Y,Y,N,"rubber, sand",N,N,N,N,Y,Y,Y,,Y
Pioneer Park,Pinercrest Dr & Peterson Ln.,Santa Rosa,CA,95403,,http://ci.santa-rosa.ca.us/departments/recreationandparks/parks/cityparks/listofparks/Pages/PioneerPark.aspx,,,,N,N,,,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
